feature,importance
wellbeing_score_rolling_7,0.08293205444236731
wellbeing_score_rolling_3,0.05601543140781952
mental_score_rolling_7,0.04879814771451853
mental_score,0.046796052669519736
wellbeing_score,0.04633775420191202
energy,0.030482769701430174
energy_rolling_7,0.029957923470628662
mental_score_rolling_3,0.02756812033024678
wellbeing_score_lag_2,0.025962499566907188
wellbeing_score_lag_1,0.02145686259171935
mental_score_lag_2,0.01943601423470666
mental_score_lag_1,0.018421495503329482
energy_rolling_3,0.017724900633146887
physical_score_rolling_7,0.014687287698698466
mental_score_lag_3,0.014521165578188031
occupational_score,0.013668571150986583
wellbeing_score_lag_3,0.013401123431565229
occupational_score_rolling_7,0.012444949849582474
activity_rolling_7,0.012063274671266588
stress,0.011484595465849493
physical_score_rolling_3,0.01134416688005847
physical_score,0.011032147500307073
occupational_score_rolling_3,0.010780936282035556
energy_lag_1,0.010582730700518085
stress_rolling_7,0.010287497313092355
physical_score_lag_1,0.010009710916422677
days_since_student_start,0.009840836794341326
physical_score_lag_2,0.009474864915493248
physical_score_lag_3,0.009307588692714976
digital_score_rolling_7,0.009250087926482195
workHours_rolling_7,0.008989848776073417
energy_lag_2,0.008804965792070775
occupational_score_lag_1,0.008636195144146501
activity_rolling_3,0.008528523599821147
occupational_score_lag_3,0.00817081533843736
sleep_rolling_7,0.008109895269356944
screenTime_rolling_7,0.008080608407661529
social_score_rolling_7,0.008025885316818847
occupational_score_lag_2,0.007871868417013924
social_score,0.007714928895795342
social,0.007712429574734507
activity,0.007606614671197163
digital_score_lag_1,0.007591111201029379
social_lag_2,0.0073335034966080966
screenTime_rolling_3,0.007102569848990462
digital_score_rolling_3,0.007096556060040177
social_score_rolling_3,0.007088138467574347
energy_lag_3,0.0070060283089517904
digital_score_lag_3,0.006986372223331106
social_rolling_7,0.006978909501951761
digital_score,0.006934346318744568
social_rolling_3,0.006931081024076177
social_lag_1,0.006877991391939271
social_score_lag_2,0.0068686812464692605
stress_lag_2,0.0068470576483901984
stress_lag_1,0.006732357318433243
activity_lag_2,0.0066830769727121
stress_rolling_3,0.0065010710286069785
social_score_lag_1,0.006389231611934794
digital_score_lag_2,0.006365561975843807
social_score_lag_3,0.006298690848432955
social_lag_3,0.006251307048214156
sleep_rolling_3,0.005953370676197912
screenTime_lag_1,0.0059426823640113
activity_lag_1,0.005914976132186973
sleep_lag_3,0.005538851348427469
screenTime,0.005487928820320061
sleep_lag_1,0.005336984839716343
screenTime_lag_2,0.00516751227349836
activity_lag_3,0.004929310809442309
stress_lag_3,0.004925221969165906
sleep,0.004886100219966178
workHours_rolling_3,0.004802465887385159
screenTime_lag_3,0.004561710484952965
sleep_lag_2,0.004486457448258185
day_of_week,0.003459847529917406
mood_rolling_7,0.0032887296867518253
workHours_lag_1,0.002987254255999418
mood_rolling_3,0.0029658105820935254
workHours,0.002898327220603909
workHours_lag_3,0.0028691531838781247
mood,0.002673535885235129
mood_lag_3,0.0026714817518283746
workHours_lag_2,0.0024033275823540597
mood_lag_2,0.0023641254869425764
mood_lag_1,0.0022970485796094614
